주요등장인물,1000|1001|1002,,,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,이미지,콘텐츠,배경음,효과음,.
8,,2001,,(1인칭 배경 일러스트 출력하기),,,,,,2,6_1,Background_On,,,
,,2001,???,둥둥.. 두둥… 둥!! 잡았다!,,,,0,0,4,,,,,
,,2001,???,북귀신님께 바칠 가죽을 찾았다!,,,,0,0,,,,,,
,,2001,???,내… 내 가죽 내놔…!!,,,,0,0,,,,,,
,,2001,1001,이럴수가.. 여긴 어디지?,,,,9,0,,,,,,
,,2001,1001,내가 왜 원주민들한테 잡혀있는거야!,,,,9,0,,,,,,
,,2001,1001,빠.. 빨리 여기를 벗어나야 해,,,,6,0,,,,,,
8,,2002,,(미니게임 화면 띄우고 그 위에서 대화),,,,,,,,Background_Off,,,
,,2002,1001,소.. 손을 움직일 수가 없잖아?,,,,9,0,,,,,,
,,2002,1001,북귀신에게 잡아 먹히기전에 도망가야 하는데..,,,,2,0,,,,,,
,,2002,1001,일단 밧줄을 풀 방법을 찾아보자,,,,0,0,,,,,,
,,2002,1001,주변을 둘러보면 밧줄을 풀 만한 물건을 찾을 수 있을 거야.,,,,0,0,,,,,,
,,2002,,아이템을 찾아 가운데 원에다가 끌어다 놓아보자.,,,,,,,,,,,
8,,2003,,(미니게임 시작),,,,,,,,StartScene1,,,
8,,2004,1001,풀었다!,,,2003,9,0,,black,,,,
,,2004,1001,어서 도망치자!,,,,6,0,,,,,,
8,,2005,,(씬 전환 후 달리기 미니게임 바로 시작),,,,,,,,StartScene2,,,
8,,2006,1001,헉헉... 드디어 따돌렸나?,,,2005,3,0,4,,,,,
8,,2007,,(눈을 깜빡이며 깨어나는 연출),,,,,,,,Blink,,3초에 한번씩 쿵쿵거리는 소리 출력,
,,2007,1001,여기는… 내 방..?,,,,4,0,1,,,,,
,,2007,1001,뭐지.. 꿈… 이었던 건가….,,,,0,0,,,,,,
,,2007,1001,…..,,,,4,0,,,,,,
,,2007,1001,정말 다행이다…,,,,0,0,,,,,,
8,,2008,,(방안을 둘러보는 상호작용 실행),,,,,,,,,,,
8,,2009,1001,몸이 움직이지 않아!,,,,6,0,,,,,,
,,2009,1001,설마 가위에 눌린 건가?,,,,6,0,,,,,,
,,2009,1001,으아아아아아아,,,,6,0,,,,,,
,,2009,1001,손가락 끝부터 차근차근 움직여 봐야겠어,,,,6,0,,,,,,
8,,2010,,표시된 부분을 최대한 빠르게 연속하여 클릭해보자,,,,,,,,,,,
,,2010,,(줄다리기 미니게임),,,,,,,,,,,
8,,2011,,(깜깜해지며 페이드 아웃 후 눈을 깜빡이며 깨어나는 연출),,,,,,,,,,,
,,2011,1001,으으...아직도 가위에서 깨어나지 못한 건가?,,,,6,0,,,,,,
8,,2012,,,,,,,,2,,,,,
,,2012,1001,후아.... 후... 으아....,,,,5,0,1,,,,,
,,2012,,기나긴 악몽에서 겨우 탈출에 성공한 도문은 가쁜 숨을 몰아 쉬었다.,,,,,,,,,,,
,,2012,???,쿵쿵쿵,,,,21,2,,,,,,
,,2012,1001,으악..! 북귀신....!?,,,,6,0,,,,,,
,,2012,,,,,,,,2,6_2,,,,
,,2012,1001,아.. 윗집에서 들리는 층간소음이었구나....,,,,2,0,1,,,,,
,,2012,1001,그래서 북귀신이 나오는 악몽을 꾼 거였어..,,,,2,0,,,,,,
,,2012,1002,잠을 잘 수가 없어요! 네.. 위층인 것 같아요.,,,,1,2,,,,,,
,,2012,,층간소음 때문에 엄마도 잠에 들지 못했던 것 걸까?,,,,,,,,,,,
,,2012,,거실에서 엄마가 경비실에 전화하는 목소리가 들려온다.,,,,,,,,,,,
,,2012,1002,네.. 위층에 말씀 좀 전해주세요. 부탁드립니다...,,,,1,2,,,,,,
,,2012,,엄마의 전화 덕분인지 곧 천장에서 들리는 쿵쿵 소리가 잦아들었다.,,,,,,,,,,,
,,2012,,힘들게 되찾은 달콤한 고요의 품에 안겨,,,,,,,,,,,
,,2012,,새근새근 도문이는 편안히 잠에 들었다.,,,,,,,,,,,
E,,,,,,,,,,,,,,,
